abusive	abuse-01
organizer	person ARG0-of( organize-01 )ARG0-of
owner	person ARG0-of( own-01 )ARG0-of
painter	person ARG0-of( paint-01 )ARG0-of
painter	person ARG0-of( paint-02 )ARG0-of
participant	person ARG0-of( participate-01 )ARG0-of
passerby	person ARG0-of( pass-by-17 )ARG0-of
payer	person ARG0-of( pay-01 )ARG0-of
performer	person ARG0-of( perform-01 )ARG0-of
perpetrator	person ARG0-of( perpetrate-01 )ARG0-of
planner	person ARG0-of( plan-01 )ARG0-of
player	person ARG0-of( play-01 )ARG0-of
preacher	person ARG0-of( preach-01 )ARG0-of
producer	person ARG0-of( produce-01 )ARG0-of
promoter	molecular-physical-entity ARG0-of( promote-01 )ARG0-of
prosecutor	person ARG0-of( prosecute-01 )ARG0-of
protester	person ARG0-of( protest-01 )ARG0-of
provider	company ARG0-of( provide-01 )ARG0-of
refinery	facility ARG0-of( refine-01 )ARG0-of
reformer	person ARG0-of( reform-01 )ARG0-of
publisher	company ARG0-of( publish-01 )ARG0-of
rapist	person ARG0-of( rape-01 )ARG0-of
rapper	person ARG0-of( rap-02 )ARG0-of
reader	person ARG0-of( read-01 )ARG0-of
recipient	thing ARG0-of( receive-01 )ARG0-of
regulator	organization ARG0-of( regulate-01 )ARG0-of
regulator	person ARG0-of( regulate-01 )ARG0-of
reporter	person ARG0-of( report-01 )ARG0-of
representative	person ARG0-of( represent-01 )ARG0-of
repressor	protein ARG0-of( repress-01 )ARG0-of
researcher	person ARG0-of( research-01 )ARG0-of
resident	person ARG0-of( reside-01 )ARG0-of
reviewer	person ARG0-of( review-02 )ARG0-of
retiree	person ARG0-of( retire-01 )ARG0-of
robber	person ARG0-of( rob-01 )ARG0-of
runner	person ARG0-of( run-02 )ARG0-of
sailor	person ARG0-of( sail-01 )ARG0-of
seeker	person ARG0-of( seek-01 )ARG0-of
seller	person ARG0-of( sell-01 )ARG0-of
servant	person ARG0-of( serve-01 )ARG0-of
servant	person ARG0-of( serve-02 )ARG0-of
shooter	person ARG0-of( shoot-02 )ARG0-of
signatory	country ARG0-of( sign-02 )ARG0-of
singer	person ARG0-of( sing-01 )ARG0-of
smoker	person ARG0-of( smoke-02 )ARG0-of
smuggler	person ARG0-of( smuggle-01 )ARG0-of
speaker	person ARG0-of( speak-01 )ARG0-of
specialist	person ARG0-of( specialize-01 )ARG0-of
speculator	person ARG0-of( speculate-01 )ARG0-of
spy	person ARG0-of( spy-01 )ARG0-of
squatter	person ARG0-of( squat-02 )ARG0-of
strategist	person ARG0-of( strategize-01 )ARG0-of
striker	person ARG0-of( strike-01 )ARG0-of
striker	person ARG0-of( strike-02 )ARG0-of
student	person ARG0-of( study-01 )ARG0-of
subscriber	person ARG0-of( subscribe-01 )ARG0-of
sufferer	person ARG0-of( suffer-01 )ARG0-of
supervisor	person ARG0-of( supervise-01 )ARG0-of
supplier	country ARG0-of( supply-01 )ARG0-of
supplier	company ARG0-of( supply-01 )ARG0-of
supporter	person ARG0-of( support-01 )ARG0-of
surgeon	person ARG0-of( surgery-01 )ARG0-of
survivor	person ARG0-of( survive-01 )ARG0-of
survivor	person ARG0-of( survive-02 )ARG0-of
sympathizer	person ARG0-of( sympathize-01 )ARG0-of
teacher	person ARG0-of( teach-01 )ARG0-of
thief	person ARG0-of( steal-01 )ARG0-of
tippler	person ARG0-of( tipple-01 )ARG0-of
thrower	person ARG0-of( throw-01 )ARG0-of
tourist	person ARG0-of( tour-01 )ARG0-of
trader	person ARG0-of( trade-01 )ARG0-of
trader	company ARG0-of( trade-01 )ARG0-of
traitor	person ARG0-of( betray-01 )ARG0-of
trafficker	person ARG0-of( traffic-01 )ARG0-of
transferor	person ARG0-of( transfer-01 )ARG0-of
translator	person ARG0-of( translate-01 )ARG0-of
traveler	person ARG0-of( travel-01 )ARG0-of
traveller	person ARG0-of( travel-01 )ARG0-of
user	person ARG0-of( use-01 )ARG0-of
vendor	company ARG0-of( vend-01 )ARG0-of
vendor	person ARG0-of( vend-01 )ARG0-of
victor	person ARG0-of( win-01 )ARG0-of
visitor	person ARG0-of( visit-01 )ARG0-of
voter	person ARG0-of( vote-01 )ARG0-of
